,id,listing_url,name,number_of_bedrooms,description,cancellation_policy,review_scores_value,reviews_per_month,host_id,host_name
0,241032,https://www.airbnb.com/rooms/241032,stylish queen anne apartment,2,make self home charming onebedroom apartment centrallylocated west side queen anne hill elegantlydecorated completely private apartment bottom unit duplex open floor plan bamboo floors fully equipped kitchen tv dvd player basic cable cozy bedroom queensize bed unit sleeps four two bedroom two comfortable fold couch linens included includes free wifi laundry apartment opens onto private deck complete bbq overlooking garden forest black bamboo apartment perfectlylocated one block bus lines catch bus downtown seattle fifteen minutes historic ballard ten quick fiveminute walk bring whole foods peets coffee take fifteen minute walk top queen anne hill find variety eclectic shops bars restaurants,moderate,10.0,4.07,956883,Maija
1,953595,https://www.airbnb.com/rooms/953595,bright  airy queen anne apartment,2,chemically sensitive weve removed irritants triggering allergy asthma attacks like carpeting forced air used pillows culprits harbor fungus mold bacteria smoking pets designed healthy living breathe easy beautiful hypoallergenic apartment extremely safe quiet pedestrianfriendly section queen anne leafygreen location puts best seattle doorstep free wifi free parking even free pillows whats special place hypoallergenic bedding mattressescovers new pillows rental feel free take new pillows beautiful restoration mixing period details modern sensibilities hardwood floors throughout white subway tile lowno vocs nontoxic paints keep homeawayfromhome clean smart healthy radiant heat oil radiators mean blowing hot air dust great amenities free wifi internet tv led flatscreen fullyequipped kitchen st,strict,10.0,1.48,5177328,Andrea
2,3308979,https://www.airbnb.com/rooms/3308979,new modern houseamazing water view,2,new modern house built 2013 spectacular sunsetwater views light rooftop deck lounge area hot tub 5 bedrooms gourmet kitchen perfect 23 families walk downtown located highly desirable queen anne neighborhood house modern light fresh warm simple palette accented barnwood steel concrete open living spaces entertaining gourmet kitchen deck kitchen reading nook half bath smaller tv room kitchen fireplace sofa sitting area basement room great kidsthis room patio access garage door opens space basketball hoop right outside queen bedroom full bath basement concrete heated floors queen sleeper sofa tv area basement room door privacy needed great second family kids 2nd floor 4 bedrooms one queen master one twin bedroom another bedroom twin bunk beds last,strict,10.0,1.15,16708587,Jill
3,7421966,https://www.airbnb.com/rooms/7421966,queen anne chateau,0,charming apartment sits atop queen anne hill northwest facing bay windows warm afternoon light setting olympic cascades space perfect one two accommodate three foldout memory foam cot,flexible,,,9851441,Emily
4,278830,https://www.airbnb.com/rooms/278830,charming craftsman 3 bdm house,2,cozy family craftman house beautiful neighborhood queen anne seattle washinton 3 bedrooms accomodate 6 people 1200 sq feet space oasis perfect location cozy family craftman house beautiful neighborhood queen anne seattle washinton 3 bedrooms accomodate 6 people 1200 sq feet space oasis perfect location walking distance whole foods market 7 minute drive seattle center space needle chihuly garden glass childrens museum key arena across street golf course 2 min walk relax sun bath watch ferry boats go large outdoor deck view elliot bay internet cable tv hbo 3 bedrooms 2 bathrooms equipped bed 2 king queen queen washer dryer unit fully stocked kitchen high end allclad cookware peace mind provided first aid kit emergency kit equipped water food always available,strict,9.0,0.89,1452570,Emily
5,5956968,https://www.airbnb.com/rooms/5956968,private unit in a 1920s mansion,2,renting small private unit one seattles beautiful houses creative travelers unit entrance give privacy cozy room new bed great viewlight antiques newly remodeled bathroom include bit background housing request youll get better chance accepted youre artist musician wanting space create let know far physical space room bathroom separate rest house youll much privacy wish doesnt tv hopefully youll find interesting things seattle take time youll get passcode garage get private exclusive access unit work mostly home happy give advice ways enjoy seattle surrounding areas let know schedule could see overlap part queen anne wonderful views qu,strict,10.0,2.45,326758,Andrew
6,1909058,https://www.airbnb.com/rooms/1909058,queen anne private bed and bath,2,enjoy quiet stay comfortable 1915 craftsman bungalow west queen anne neighborhood street parking free near entry coffee bakeries neighborhood cafes nearby close upper qa shopping district seattle center bus stops enjoy quiet stay comfortable 1915 craftsman bungalow west queen anne neighborhood street parking free near entry coffee bakeries neighborhood cafes nearby close upper qa shopping district seattle center bus stops come go wish separate entry large foyer covered exterior porch parking 10th avenue west adjacent entry convenient free room bath isolated rest house peace privacy bedroom memory foam top double bed comforter pillows large closet dresser desk task light bathroom pedestal sink foot claw foot tubshower large 5 tub perfect soaking cares away provide,moderate,10.0,2.46,2497928,Gary And Beth
7,856550,https://www.airbnb.com/rooms/856550,tiny garden cabin on queen anne  ,3,tiny cabin private quiet comfortable spot two bus across street queen anne ballard downtown short bus ride high speed wifi bathroom shared guests cabin built airbnb mind queen bed gel foam topper 110 heat thermostat cherry hardwood floors oak bed frame night stand cabin well insulated warm quiet bathroom shower located house steps away plenty street parking around us bus line half block away ten minute bus ride pike place market private large back yard chickens live spring summer garden sight see want private stay nice space food within walking distance sculpture park pretty close well get private space use shared bathroom guests back yard,strict,10.0,4.73,4016632,Jean-Marc
8,4948745,https://www.airbnb.com/rooms/4948745,urban charm  downtown  views,1,nestled heart city space turn century charm meets urban living gorgeous city views nightlife shopping restaurants within blocks walking score 92 located heart city space turn century meets urban living offstreet privacy yard full apartment garden area patio yard laundry room im available much little wish duration stay im happy give recommendations insider tips great city walking score 92 4 blocks kerry park famous seattle restaurants within 1 block hill became popular spot citys early economic cultural elite build mansions name derives architectural style typical many early homes according wikipedia queen annes demographic powersingles young unmarried professionals boasts bustling main street restaurants bars shopping coffee shops farmers market trad,strict,10.0,1.22,2166277,Aliza
9,2493658,https://www.airbnb.com/rooms/2493658,airy  bright queen anne apartment,2,beautiful apartment extremely safe quiet pedestrianfriendly section queen anne leafygreen location puts best seattle doorstep free wifi free parking even free pillows whats special place beautiful restoration mixing period details modern sensibilities hardwood floors throughout white subway tile lowno vocs nontoxic paints keep homeawayfromhome clean smart healthy radiant heat oil radiators mean blowing hot air dust hypoallergenic bedding mattressescovers new pillows rental thats right theyre keep feel free take new pillows great amenities free wifi internet tv led flatscreen fullyequipped kitchen stainlesssteel appliances sink disposal large washer dryer ironironing board hairdryer plenty storage convenient parking offstreet best location enjoy seattles celebrat,strict,9.0,1.55,5177328,Andrea
