,listing_id,id,comments
0,8308353,47014896,courtney welcoming immediately felt home cats ranged friendly friendly indifferent secondfloor room beautiful lots light good views bed great house easy walking distance gas works park attending wedding stone way offeri highly recommend staying
1,8308353,47427199,felt welcomend courtney adams adorable house room bright cozy spot douzens squirrels garden house nice neighbourhood walking distance famous freemont trollthey gave us useful hints seattle especially breakfast place amazingall wonderful time would definetly stay thanks lot matthias anna
2,8308353,47602193,great place fantastic hosts definitely airbnb room large comfortable adam courtney super friendly accommodating odd schedule
3,8308353,48810422,beautiful bright room two windows floor drapes hardwoods spotless bed comfortable highly recommend space hosts see much friendly helpful see
4,8308353,48957529,magnificent place beautiful convenient neighborhood adam courtney nice could cat hope see
5,8308353,50103944,fantastic stay courtney awesome person place great adam accommodating friendly location convenient plus french press choice coffee pretty delicious highly recommended
6,8308353,55606734,stayed adam courtney 2 months working university washington 25 miles away easy reach busbikingwalking great stay theyre warm welcoming people go way make feel welcome house located residential neighborhood quiet safe far downtown seattle 20 min bus u district ballard wallingford especially last two nice youre looking nice place lunchdinner would definitely recommend staying adam courtney
7,7763878,45307373,excellent stay lovely view nice clean porch accommodating easy stay touch
8,3193738,20740695,stayed boat summer 2014 loved every minute amelia foxy marissa amazing hosts even welcomed birthday cake extra decorations day arrived provide detailed binder info need living boat surrounding area immediately responsive question checked regularly ensure everything going well stay living boat seattle summer indicated title deck huge provides amazing view perfect morning coffee lazy day hammock inside nicely decorated cozy loved sleeping lofted bed ever slight movements boat lulled sleep nightly stay soon
9,3193738,23435864,houseboat cute charming wellequipped kitchen oven small convection ovenmicrowave excellent location near lots shops restaurants amelia quick address questions concerns houseboat life definitely change pace bed area doesnt really stay warm ended uo sleepubg futon really negative great experience overall lifetime think would amazing spring summer still beautiful views lake city
10,7322718,40374362,hosts incredibly helpful attentive house could cleaner arrived first time extremely helpful definitely older home certainly charming
11,5671843,28859070,reservation canceled 2 days arrival automated posting
12,5671843,29805704,emiliyas room pleasant comfortable great location ballard one seattles upandcoming districts emiliyas house 1015minute walk away dozens excellent restaurants interesting stores overall good value accommodation price stayed one night emiliyas place everything could make us feel welcome help us get around particularly appreciated fact let us use parking spot several hours checked could hang around ballard brunch leaving town
13,5671843,29902240,reservation canceled 33 days arrival automated posting
14,5671843,30170198,great experience host friendly hospitable room clean quiet comfortable
15,5671843,30432662,emiliya great host room clean nice also good neighborhood
16,5671843,30593604,perfect location lovely art everywhere private clean room advertised emiliya wonderful host look forward future stay thanks emiliya needed
17,5671843,30815972,emiliya gracious host two town guests felt home loved morning coffee service room quaint location perfect ease getting around ballard
18,5671843,31241355,sweet little spot within easy walking distance downtown ballard emiliya welcoming kind accommodations homey comfortable
19,5671843,32589016,really nice place stay especially appreciate tasteful paintings great location like ballard car easy free street parking dont mind taking bus go downtown runs time great experience overall
20,5671843,32867476,emiliya accommodating sister needed quick place stay night way cascades emiliya could sweeter late arrival super early start day break french press coffee fruit
21,5671843,33381570,fantastic great host appreciate communicative goodies left considerate cant recommend highly 5 stars
22,5671843,36273924,cute city summer internship amazon completely zero knowledge city came around 10 pm night got room private bathroom everything actually like put bed corner windows right next image woke charmingmaymorningofseattle first thing would ever feel gentle breeze emiliya super friendly easygoing lady helped everything need explain great patience loved place right intersection 15th nw 60th street kinda enjoy walk eight minutes leary hop bus 40 moved u district lease ends absolutely miss place future amazonian company located south lake union area would definitely recommend place
23,5671843,36777296,emiliya thoughtful host hot trip left us water bottles use space listed perfect two added bonus artwork truly beautiful would recommend listing sure
24,5671843,37302214,emiliya wonderful host extremely flexible allowing pick key drop luggage early check arrived city morning place quiet street prefer bus stops market street still accessible emiliya also offered make coffee breakfast morning sister lovely stay emiliyas home would definitely stay future
25,5671843,39379719,emiliyas place convenient visit family visit ballard freemont areas take bus downtown seattle close bus stops ballard market coffee shop downtown ballard sunday ballard vegetable market perfect place stay visiting seattle
26,5671843,39851724,first airbnb experience great room comfortable location amazing host great checking us text messages make us feel welcome barely saw came late night left early morning sweet definitely recommend
27,5671843,40160460,perfect easy check issues comfortable place clean beautiful artwork
28,5671843,40754998,emiliya gracious thoughtful host home bright cheerful accomplished artist creativity talent nicely showcased living space location wonderful short walk many ballards fun shops restaurants public transportation nearby great stay hope return againi
29,5671843,41769957,first experience airbnb disappointed room nice cozy lot well done paintings created nice atmosphere emiliya nice host always making sure comfortable overall great experience
30,5671843,42036818,stay pleasant room beautiful would definitely like return
31,5671843,43243854,hey emiliya thank first airbnb host place perfect needs able located near venue niece getting married also near enough rest siblings staying loved room art walls fan window cooling room private bathroomyou friendly welcoming host making home available considerate special though didnt really take advantage kitchen area hope liked tomatoes garden come back would definitely call guest dave berens
32,5671843,43414288,beautiful art nice clean bedroom well stocked bathroom met needs stay morning great cup coffee good way start last day seattle came late left early since cramming time activities much time interact emiliya place waling distance many good places eat try morsel breakfast 15th 60th
33,5671843,43651611,emiliya welcoming hostess responsive questions stayed days solo trip pnw felt safe also first time using airbnb super easy take bus downtown walk restaurantsshops ballard would highly recommended staying
34,5671843,44325079,wonderful stay emiliya arrived spending six hot days portland loved happy see private room bathroom attached bathroom fully stocked room includes big closet hang clothes well hide away luggage also fan window made relaxing cool nights evenings shared space rest home includes emiliyas things including tons beautiful paintings please respectful emiliya fantastic host quite busy painting still made time chat us make us feel home made coffee super yummy allowed use kitchen things make breakfast even decided cook dinner one night many days nights eating lengthy travel even kind enough let us load laundry terms location ballard bit haul downtown area however exploring ballard marina one favorite parts stay many great restaurants cafes shops ballard check golden gardens ended using car2go get around city lot fremont green lake capitol hill etc beautiful really fell love seattle emiliya thank relaxing home base explorations
35,5671843,44804833,ballard artcove recommended listing bottom screen usually choose entire place listings however seemed truly private located top floor condo pictures okay previous reviews complimentarya week arrival messaged emiliya inquire public transportation airport home since planning rent car know immediate answer able figure eventually message helpful website day beforehand messaged clarify check time contradictory information listed wanted make sure would okay check 1 pm long travel time emiliya messaged would fine room would ready told get keyroom located easily smaller expected seemed satisfactory first glance exhausted unfortunately pulled back bedspread noticed large reddish brown stain led take closer look sheets upon discovered multiple places dried mucus like substance visible crusted onto sheet stripped bed white mattress cover decided wash linens seemed like quick easy solution happened 2nd set sheets wash fit bed reserved texted emiliya let know found room easily switched sheets due condition set bed led number texts emiliya filled exclamation marks language began attack character keep mind never met woman person found seemed quickly becoming confrontational situation put tremendous amount stress began notice things room bath didnt seem cleaned discomfort doesnt begin cover emotions feeling trip works 2 years limited funds meant budget well thought planned exploration sightseeing around areas chose housing intending walk take inexpensive public transportationas result housing transportation expenses quadrupled supposed relaxing start vacation unsettling unnerving filled anxiety set unclean sheets happy wash uncomfortable recommending listing initial request emiliya full refund issued partial amount declined made 2nd request airbnb resolution portal issued full refund
36,5671843,45267102,nothing kind words emiliya beyond hospitable host loved interacting daughter cant stop talking emiliya great room arrangements perfect area close enough downtown ballard away enough busy seattle city life cant recommend enough
37,5671843,46146990,excellent lovely room lovely house well located great neighbourhood exactly need
38,5671843,50171086,emiliya excellent host girlfriend stayed month searched permanent place jobs seattle accommodating made us feel welcome home home lovely filled beautiful paintings gave us free use kitchen offered us storage space things beyond room rented apartment good location many great local restaurants within walking distance bus stop 2 minute walk away 30 minutes downtown bus staying emiliya excellent experience couldnt asked kinder person stay establishing new city
39,5671843,50861969,excellent room lovely host great location quiet clean comfortable
40,5671843,52075548,needed room near daughters house ballard emiliyas home fit bill little bit trouble lock box fault room third floor perfect ways clean comfortable everything described listing one small issue water bathtub drained quite slowly easily fixed neighborhood ideal look forward next stay emiliya wonderful host
41,5671843,55347927,emiliya wonderful host checked couple times ensure everything order moved prompt responding questions well neighborhood enjoyable wellit comfortable experience
42,6492880,33877610,great neighborhood within walking distance food nightlife able find onstreet parking without problem home super clean welcoming bed comfortable sylvia stick head say hello great
43,6492880,34487115,listing accurate area great super convenient family needed apartment clean even provided towels soap shampoo also keurig coffee biscotti would definitely use bev would highly recommend apartment unless looking something full kitchen great needs
44,6492880,35689550,felt really home bevs house great location quiet despite proximity i5 clean organized fun discover something new decoration every day family pictures around make place cosy note goes accessing entrance door didnt know open small gate go back door took us figure considering key didnt open front door afraid invading private property next day see arrow gate pointing right direction though much decor around house missed another point lack kitchen sink also hadnt realized house description although plates stuff didnt prepare anything cause place wash properly really enjoyed experience recommend place
45,6492880,36797798,place perfect comfortable clean spacious date perfect location right inbetween greenlake wallingford udistrict super quick father walk greenlake run around lake coffee breakfast places blocks away even options dinner also within 5 minute driving distance easy get anywhere seattle really bed couch great sleep also amazing art photographs walls made place feel like actual home hosts amazingly warm welcomingplus mini kitchen cute dogs
46,6492880,37780085,bev great host got responses inquiries timely manner place really unique tell bev global traveler incorporated flair decor easy bus routes nearby youre walking distance lake plenty restaurantscafes nearby would recommend
47,6492880,38736326,staying great experience apartment lot character books travel pictures tell hosts kindred spirits bev helpful promptly answering questions beforehand although didnt interact much place lot privacy seemed pleasant location great walking distance green lake lot cool neighborhoods nearby
48,6492880,39520120,place perfect us id definitely recommend bed sleeper sofa comfortable plenty extra sheets blankets put us use also appreciated hair dryer apartment tons character tons travel books kinds explore seattle wa around world everything easily accessible street plenty parking rental car
49,6492880,41420447,cute cozy place clean welldecorated walking distance green lake park elysian donuts coffeenice location
50,6492880,41432090,host canceled reservation 13 days arrival automated posting
51,6492880,42553812,colorful retro exactly described older greenlake neighborhood quaint comfortable perfect needs decorated finds bevs travels great family pictures coffee biscotti awaited us upon arrival coffee table numerous travel brochures restaurant info helpful along comfortable queen bed pull couch soooo comfortable well nice small refrigerator microwave great place crash long days sight seeing highly recommend colorful retro
52,6492880,43257194,beautiful wonderfully decorated quiet gem neighborhood walking distance stores cafes restaurants adequate onstreet parking
53,6492880,44945321,fantastic place everything need great location gripe property managed 3rd party management company impersonal believe culture airbnb
54,6492880,47264022,bev welcoming arrived made clear could contact reason place depicted cheerful colorful clean comfortable great bed complete biscotti nice touch plenty info local sites restaurants car still would taken bus half block away downtown able see much area without burden driving parking city truly wonderful end long eventful day home away home relax
55,6202603,32008544,stayed two friends last minute trip seattle nice clean well located apartment fremont area close great restaurants including dish amazing breakfast 20 minutes away space needle molly super nice accommodating host even left us trial size toiletries us use
56,6202603,32581881,really enjoyed staying mollys 1 bedroom apartment first time seattle could better apartment adorable neighborhood quick walk seattle troll pretty easy get astound well cute main street lots restaurants extremely clean well kept well nicely decorated communication great simple easy left us bottle wine enjoy got would definitely stay
57,6202603,33141929,great stay apartment 1015 minute walk everything fremont close bus line 5 downtown molly helpful gracious bed super soft place decorated well
58,6202603,35306093,mollys home comfortable accommodating late arrival neighborhood perfect right troll bridge gas works park walking distance fun restaurants quiet street made peaceful sleep would definitely recommend
59,6202603,35806381,communications molly great apartment described comfortable bed great water pressure hot shower long day walking email hidden drinks around corner would stay
60,6202603,36406360,mollys place located close everything quiet street easy parking great time nice place stay days seattle
61,6202603,38121509,nice apartment close gasworks park short walks freemont spots convenient buses city tourist spots drawbacks outdoor area sit ability open windows feel shut also prefer normal bed thats made
62,6202603,39933818,boyfriend great stay mollys place nice quiet neighborhood good restaurants close also nice wake run along water great little spot found lay grass watch boats views entire seattle skyline close place responsive questions made everything easy would stay great value
63,6202603,42397338,great little apartment awesome neighborhood walking distance great bars coffee shops molly accommodating easy work even baby lotion available son would definitely stay
64,6202603,45674729,mollys apartment great location close great restaurants breweries easy get downtown seattle bus molly made everything easy would definitely recommend
65,6202603,46109717,host canceled reservation 2 days arrival automated posting
66,7207641,41158735,joe anna friendly made us feel well welcomed comfortable house gorgeous spacious newly upgraded decorations furniture everything prepared really well thoughts location awesome convenient access downtown area lot good restaurants coffee shop grocery storesoverall extraordinary experience highly recommend house everyone
67,7207641,41427832,listing accurate host even left neighborhood maps reference
68,7207641,43088472,great house great neighborhood everything described joe anna great communication definitely stay
69,7207641,43962788,great house top notch location appliances overall decor design great kids esp backyard joe anna helpful accommodating every need even afar highly recommended
70,7207641,45485315,clean organized hosts provided clear answers number anticipated questions fantastic locationacross street recreation area blocks shopseats would stay
71,7601333,43185784,lauren really sweet helpful property center local attractions made easy find seattles hot spots
72,7601333,43860046,wonderful house nice area easy park outside house close god restaurants bars
73,7601333,44270685,cool place great location love
74,7601333,46622549,lauren awesuumvery quick responsive questions house lovely spacious clean light filled nice bkyard house stocked anything wld need internet fast consistent neighborhood great wld def stay againthnx lauren
75,7601333,48578894,loved wonderful warm house lauren great host beds super comfortable location great
76,6004058,30174940,great location super great host
77,6004058,31233618,marinas queen ann studio described place small clean cozy comfortable marina left basket helpful info maps tissues apartment great neighborhood close downtown kerry park beautiful view city marina gave us privacy responsive helpful whenever texted overall great trip seattle
78,6004058,33151436,description accurate suite similar hotel room perfect size visitthe location worked well would nice little closer coffee shops amenities building quiet relaxed
79,6004058,34213590,nice place cozy fantastic location
80,6004058,34958147,mariana makes feel welcome apartment clean nicely decorated perfect location visit seattle
81,6004058,36408316,airy studio amenities amazing view spacious patio walking distance downtown offering killer views property could hoped hostess helpful left everything visitor could need whether staying one night cannot recommend property highly enough
82,6004058,37981463,great location minutes walk queen anne key arena free parking apartment studio small marina sets beautifully clean comfortable marina great communicating us give us information helpful directions place
83,6004058,38954954,great place clean comfortable bed great location
84,6004058,39966022,apt adorable clean cozy perfect stay plan sleeping checking breeze looking forward visiting
85,6004058,40596659,marina made us feel super welcome great communicating place described perfect one two people short stay great location especially perfect heading port cruises early morning 10 minute ride also walking distance space needle loved stay
86,6004058,41822097,location amazing beautiful views easy walk many restaurants attractionsthe place great well marina really fantastic job keeping area spacious light marina accommodating caring made us feel home
87,6004058,44059382,amazing time visiting seattle weekend couldnt asked better place stay adorable studio apartment small well organized never felt cramped amazing use space building beautiful felt comfortable come home tothe apartment bus stop across street easily takes downtown wait get amazing view space needle breathtaking walk around queen anne area full adorable shops cute cafes amazing restaurants theres something everyone summary great space welcoming host would definitely recommend
88,6004058,44930272,place decent described stated small everything need short stay complaint apartment gets pretty warm air conditioning
89,6004058,45119937,cute hotel style studio everything need stay love historical feel place host accommodating checkin breeze steps away bus stop short walk seattle center overall good experience
90,6004058,46782491,clean conveniently located studio meets basic needs host easy communicate accommodating check inout process would definitely recommend anyone visiting seattle
91,6004058,48646907,place great totally quiet night like people noise street studio small clean cozy love old building claw foot tub location little far away things walking hill biking bad communication breakdown right checking worked
92,6004058,49631934,location great within walking distance short bus ridecar ride kerry park space needle pike place also great view apartment neighborhood felt safe quiet room cozy perfect one 2 people also clean everything needed marina great host super friendly fast respond check incheck easy flexible hours convenient us would recommend anybody needing place stay seattle
93,6004058,51017020,great neighborhood patio photo misleading table chairs climb window onto roof accessed several windows limited privacyit would helpful know booking coffee maker toaster microwave parking difficultcomfy bed though
94,6004058,54228180,host canceled reservation 3 days arrival automated posting
95,6004058,58411660,marinas place perfect us compact everything needed charmingly converted hotel building checkin easy marina great host
96,4279876,21445149,neighborhood great lots interesting restaurants shops right near beth super accommodating giving us laundry list great places checkout place steal compared listings
97,4279876,21641227,beth husband made us feel welcome quick communicate apartment perfect clean accommodating bed comfortable internet fast basic cable nice nice neighborhood lots within walking distance close things enjoy seattle great time felt welcome
98,4279876,21732701,wow wonderful house super clean well equipped calm silent zone really close lot cool barristo 15 minutes car seattle downtown bethpierce helpful kind definitely recommended
99,4279876,21916478,beth nice made sure would comfortable home enjoyed staying home temperature controls every room clean comfy bedrooms kitchen bathrooms also well stocked everything needed
100,4279876,22330601,great place stay beth pierce friendly welcoming allowing us feel right home booking process super easy prompt clear communication fantastic anniversary weekend thanks hospitality great flat described awesome part seattle loved exploring surrounding communities quiet neighborhoods great morning jogs beth pierce also great recommendations local fare points interest would absolutely recommend place stay seattle
101,4279876,22551245,great tips thorough information large place good amenities close lots cool places thanks
102,4279876,22799635,beth pierce nothing less stellar hosts communication beginning inquiry last day prompt courteous informative friendly helpful stayed seattle sunnyside suite wallingford initial week transitioning new job relocation seattle parents happened visiting week well suite private spacious super clean cozy comfortable beth pierce even generous enough allow us use outdoor furniture fire pit enjoyalthough night temperatures ended bit chilly put good use first official airbnb experience us parents would definitely recommend stay friends familyand cheers
103,4279876,23115775,beth pierce incredible hosts offered us local eateries bars great understanding made error reservation helped remedy issue quickly great location quick drive ballard
104,4279876,23328568,wallingford area great property spacious clean well stocked kitchen everything need beth wonderful host helpful
105,4279876,24078145,beth pierce great hosts easy contact responded quickly stayed another family member visiting seattle location great wallingford fun neighborhood easy access rest seattle offers given proximity i5 apartment comfortable everything needed would definitely recommend
106,4279876,24485482,husband adult daughter really enjoyed stay sunyside suite seattle spend christmas son fianc apartment made homey place together relax apartment clean spacious bedrooms large large closets beds comfortable kitchen well stocked dishes pots pans made christmas eve christmas day dinner well breakfasts apartment apartment located great neighborhood fun restaurants bars ice cream great grocery nearby far downtown seattle university area beth pierce made book great recommendations accommodating would definitely stay future visit seattle
107,4279876,24658945,nice simple cozy spot near heart wallingford lots restaurants close highway many neighborhoods easy get book lot recommendations great places go youve never seattle guide perfect beth town staying great replying messages addressing questions concerns helpfulthe slightly strange thing amount clean required attendants seemed like quite bit airbnb ive youll charged 50 fee completed however mess pretty minimal manageable us
108,4279876,25085972,sunnyside suite would stay time go seattle get lot pricesuper clean tidy easy street parking convenient walk ton great restaurantsbars 1 minute freeway comfy beds pillows nice bathroom well appointed kitchen comfy sofas big dining table easy work good lightall really great place im picky
109,4279876,25390765,beths place great 2 bedrooms full kitchen dining room living room etc everything need make feel home away home wallingford one best locations seattle close enough downtown tourist sights yet charm doesnt need help lots restaurants bars grocery store etc within walking distance private parking spot couldnt ask
110,4279876,25497473,great apartment comfortable beds furniture kitchen good cooking etc beth pierce helpful finding hikes restaurants area among things location great enjoyed stay immensely
111,4279876,25825535,apartment spacious light airy feeling even lucky enough enjoy rare sunny seattle days staying sunnyside avenue definitely appreciated kitchen well stocked significantly betterthanairbnbaverage flatware dishes cookware utensils beds quite comfortable picky long history back issues apartment quiet peaceful even though less block bustling main drag wallingford walk grocery store easy hosts friendly flexible check check schedule changed initial booking altogether positive experience definitely recommend friends relatives
112,4279876,26028623,nice clean place near bustling wallingford thoroughfare place bit loud neighbors adjoining apartment great experience
113,4279876,26161484,calm atmosphere within one block amazing coffee shop bar furniture especially beds comfortable
114,4279876,26356589,beth pierce completely welcoming touch via email text right times made clear could ask whenever questions
115,4279876,26599101,suite ideal three us met exceeded expectations clean tidy ample room living area relax beds comfortable closets dressers things appreciated private parking space saving us hassle trying find street parkingbeth pierce easily accessible phoneemail even checked us make sure everything neededno complaints would definitely stay next visit seattle
116,4279876,27262187,stayed sunnyside suite end february wonderful time pictures show home exactly neighborhood great felt comfortable safe house clean everything needed days ate local restaurants played neighborhood park walked tofrom uw even hoped bus located right theretraveling two small babies meant important found clean clutter free place stay worked great two play pens fit bedroom plenty extra space beth pierce great responsive thank
117,4279876,27483594,staying beth pierces couldnt gone smoother easy get touch accommodating flexible looking central launching point explore city amenities home without price tag hotel great time exploring familyfriendly neighbor lies footsteps door wed definitely stay
118,4279876,27572463,received useful information house neighborhood theyve created comfortable clean accessible space people stay one seattles walkable neighborhoods
